LINE.DEPTH.CMD NUMBER 	COMBINED WALL-CLOCK TIME        	COMBINED CPU TIME               	COMMAND                             
65.0.0:                	( 0.000076s |  0.00% )            ( 0.000089s |  0.03% )             	(1x)	let "x = 5 + 6"

66.0.0:                	( 0.000078s |  0.00% )            ( 0.000089s |  0.03% )             	(1x)	arr=(one two three)
66.0.1:                	( 0.000101s |  0.00% )            ( 0.000115s |  0.04% )             	(1x)	echo ${arr[@]}

67.0.0:                	( 0.000078s |  0.00% )            ( 0.000094s |  0.03% )             	(1x)	((i=0))
67.0.1:                	( 0.000301s |  0.00% )            ( 0.000359s |  0.03% )             	(4x)	((i<3))
67.0.2:                	( 0.000217s |  0.00% )            ( 0.000265s |  0.03% )             	(3x)	echo "$i"
67.0.3:                	( 0.000196s |  0.00% )            ( 0.000241s |  0.03% )             	(3x)	((i++))

80.0.0:                	( 0.000065s |  0.00% )            ( 0.000079s |  0.03% )             	(1x)	cmd="echo inside-eval"

81.0.0:                	( 0.000068s |  0.00% )            ( 0.000083s |  0.03% )             	(1x)	eval "$cmd"
81.0.1:                	( 0.000085s |  0.00% )            ( 0.000101s |  0.04% )             	(1x)	echo inside-eval

82.0.0:                	( 0.000069s |  0.00% )            ( 0.000084s |  0.03% )             	(1x)	eval "eval \"$cmd\""
82.0.1:                	( 0.000067s |  0.00% )            ( 0.000083s |  0.03% )             	(1x)	eval "echo inside-eval"
82.0.2:                	( 0.000072s |  0.00% )            ( 0.000087s |  0.03% )             	(1x)	echo inside-eval

84.0.0:                	( 0.019615s |  1.46% )            ( 0.019572s |  8.32% )             	(1x)	trap 'echo got USR1; sleep .01' USR1

85.0.0:                	( 0.000079s |  0.00% )            ( 0.000095s |  0.04% )             	(1x)	kill -USR1 $BASHPID


-53.0.0:               	( 0.016293s |  1.21% )            ( 0.006303s |  2.68% )             	(1x)	'TRAP (USR1): echo got USR1\; sleep .01'


-48.0.0:               	( 0.000071s |  0.00% )            ( 0.000087s |  0.03% )             	(1x)	'TRAP (USR1): echo got USR1\; sleep .01'

86.0.0:                	( 0.000090s |  0.00% )            ( 0.000110s |  0.04% )             	(1x)	echo after-signal

88.0.0:                	( 0.000728s |  0.05% )            ( 0.000545s |  0.23% )             	(1x)	cat <(echo hi) <(echo bye) <(echo 1; echo 2; echo 3) (&)
88.0.1:                	( 0.000151s |  0.00% )            ( 0.000181s |  0.03% )             	(2x)	<< (SUBSHELL) >>
└─ 88.1.0:          	( 0.000151s |100.00% |  0.01% )   ( 0.000181s |100.00% |  0.07% )    	(2x)	echo hi \(\^\)
88.0.3:                	( 0.000214s |  0.01% )            ( 0.000259s |  0.11% )             	(1x)	<< (SUBSHELL) >>
├─ 88.1.0:          	( 0.000073s | 34.11% |  0.00% )   ( 0.000087s | 33.59% |  0.03% )    	(1x)	echo 1 \(\^\)
│  88.1.1:            	( 0.000072s | 33.64% |  0.00% )   ( 0.000088s | 33.97% |  0.03% )    	(1x)	echo 2 \(\^\)
└─ 88.1.2:          	( 0.000069s | 32.24% |  0.00% )   ( 0.000084s | 32.43% |  0.03% )    	(1x)	echo 3 \(\^\)

90.0.0:                	( 0.001508s |  0.03% )            ( 0.001564s |  0.21% )             	(3x)	for i in {1..3} (&)
90.0.1:                	( 0.004751s |  0.11% )            ( 0.005014s |  0.70% )             	(3x)	<< (SUBSHELL) >>
├─ 90.1.0:          	( 0.004485s | 94.33% |  0.33% )   ( 0.004695s | 93.58% |  1.99% )    	(3x)	seq 1 4
└─ 90.1.1:          	( 0.000266s |  5.65% |  0.01% )   ( 0.000319s |  6.40% |  0.13% )    	(3x)	:

91.0.0:                	( 0.004662s |  0.01% )            ( 0.001409s |  0.03% )             	(15x)	read x

92.0.0:                	( 0.005666s |  0.03% )            ( 0.005006s |  0.17% )             	(12x)	(( x % 2 == 0 ))

93.0.0:                	( 0.000483s |  0.00% )            ( 0.000576s |  0.03% )             	(6x)	echo even "$x"

95.0.0:                	( 0.000711s |  0.00% )            ( 0.000849s |  0.05% )             	(6x)	<< (SUBSHELL) >>
└─ 95.1.0:          	( 0.000711s |100.00% |  0.05% )   ( 0.000849s |100.00% |  0.36% )    	(6x)	echo odd "$x"

100.0.0:               	( 0.000473s |  0.03% )            ( 0.000484s |  0.20% )             	(1x)	sleep 1 (&)

101.0.0:               	( 1.002400s | 74.86% )            ( 0.001696s |  0.72% )             	(1x)	wait -n $!

104.0.0:               	( 0.016940s |  1.26% )            ( 0.016924s |  7.19% )             	(1x)	<< (SUBSHELL) >>
├─ 104.1.0:         	( 0.015218s | 89.83% |  1.13% )   ( 0.015185s | 89.72% |  6.45% )    	(1x)	trap 'echo bye' EXIT
│  105.1.0:           	( 0.000069s |  0.40% |  0.00% )   ( 0.000083s |  0.49% |  0.03% )    	(1x)	exit
